ticker,has_res,level_dist_atr,age_bars,touches,res_drop_dep,res_drop_spd,reached,stalled,broke,short,cont_atr,apex_at_res,apex_placebo
AAPL,True,1.235683249904669,1611.0,5.0,0.403930443750528,0.201965221875264,True,False,True,False,21.772738863320274,True,True
AAPL,True,1.0848421432114448,1362.0,9.0,0.1692811195124768,0.05642703983749226,True,False,True,False,2.5348786712663838,True,True
AAPL,True,1.0241468422976452,357.0,4.0,0.539803397920346,0.1349508494800865,True,False,True,False,0.6901859154614497,True,True
AAPL,True,1.0423174797970465,60.0,3.0,0.38706739526412043,0.07741347905282409,True,False,True,False,2.9374401703370414,True,True
AAPL,True,1.1738087631577772,1899.0,2.0,0.4346334210225434,0.07243890350375723,True,False,True,False,4.752494016687287,True,True
AAPL,True,1.6373024996819265,23.0,1.0,0.27407756689850493,0.0913591889661683,True,False,True,False,0.6872627776442705,True,True
AAPL,True,1.2923586375188878,35.0,1.0,0.27407756689850493,0.0913591889661683,True,False,True,False,4.485244683153768,False,True
AAPL,True,1.0318186133205116,84.0,2.0,0.716490941923452,0.179122735480863,True,False,True,False,6.353830408342183,False,True
AAPL,True,1.460862917691139,146.0,5.0,0.2600855392440279,0.08669517974800929,True,False,True,False,5.113020211918926,True,True
AAPL,True,1.334300507800063,308.0,2.0,0.6637549566116897,0.06034135969197179,True,False,True,False,9.112665968043645,True,True
AAPL,True,1.1432535235648413,55.0,3.0,0.35276331261548544,0.17638165630774272,True,False,True,False,16.257065105092074,False,False
AAPL,True,1.108071695016368,1328.0,4.0,0.142164241511956,0.028432848302391196,True,False,True,False,8.987692637355075,False,True
AAPL,True,1.106750842480916,249.0,4.0,0.35276331261548544,0.17638165630774272,True,False,True,False,1.094976897348151,True,True
AAPL,True,1.0154543354049457,1372.0,8.0,0.2765896777872741,0.05531793555745483,True,False,True,False,4.4042379896051225,True,True
AAPL,True,1.0813682455973017,1233.0,4.0,0.5029953656606683,0.06287442070758353,True,False,True,False,3.3424109409371656,True,True
AAPL,True,1.017665994061579,1282.0,4.0,0.5147058823529553,0.0735294117647079,True,False,True,False,2.022284988199156,True,True
AAPL,True,1.1202200531973565,1508.0,4.0,0.5640061527943994,0.05127328661767267,True,False,True,False,6.759948596880785,True,True
AAPL,True,1.2056084682536776,1568.0,2.0,0.8394781622234929,0.11992545174621327,True,False,True,False,4.293142350366432,True,True
AAPL,True,1.2826810757560427,1583.0,4.0,0.8394781622234929,0.11992545174621327,True,False,True,False,3.185675130771055,True,True
AAPL,True,1.2690773213105127,1028.0,3.0,0.8811083415454071,0.8811083415454071,True,False,True,False,0.9121493246919663,True,True
AAPL,True,1.2054223661095906,1544.0,3.0,0.3945688754787088,0.13152295849290294,True,False,True,False,6.166199026637663,True,True
AAPL,True,1.6776060218799627,1576.0,4.0,0.3945688754787088,0.13152295849290294,True,False,True,False,1.5872733899325895,True,True
AAPL,True,2.248403434286633,19.0,1.0,0.3764340344168402,0.12547801147228008,True,False,True,False,4.099130070672076,False,False
AAPL,True,1.06334483576073,22.0,2.0,0.29795602169119834,0.09931867389706613,True,False,True,False,12.057249069896438,True,True
AAPL,True,2.08957965087124,1751.0,3.0,0.7676470588235335,0.1279411764705889,True,False,True,False,2.729934705170479,True,True
AAPL,True,1.0289324794061023,1841.0,5.0,0.7002720064818448,0.07780800072020497,True,False,True,False,4.02494175767681,True,True
AAPL,True,1.164568735768626,1767.0,3.0,0.8433734939759029,0.10542168674698786,True,False,True,False,6.689499482205719,True,True
AAPL,True,1.3404310026345414,9.0,2.0,0.7446143352469745,0.08273492613855271,True,False,True,False,1.1086271450360183,True,True
AAPL,True,1.480273954585319,66.0,4.0,1.0885279360489768,0.18142132267482947,True,False,True,False,9.996918624802767,True,True
AAPL,True,1.063575769382768,1168.0,5.0,2.3463687150837926,0.46927374301675856,True,False,True,False,9.292293564081119,False,False
AAPL,True,1.179510276883367,1470.0,2.0,0.37058387548382404,0.09264596887095601,True,False,True,False,5.741767008224336,False,False
